,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Fix This - The Chainsmokers Remix___The Colourist,0.672,0.78,0,-6.802,1,0.0369,0.084,0.000103,0.33,0.193,125.994,audio_features,2qeFnvPUj7e2TeYE158daa,spotify:track:2qeFnvPUj7e2TeYE158daa,https://api.spotify.com/v1/tracks/2qeFnvPUj7e2TeYE158daa,https://api.spotify.com/v1/audio-analysis/2qeFnvPUj7e2TeYE158daa,219040,4,Inversions,7dBKp63ECjAFL7q4FmEvWR
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)___David Guetta",0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,audio_features,5b2bu6yyATC1zMXDGScJ2d,spotify:track:5b2bu6yyATC1zMXDGScJ2d,https://api.spotify.com/v1/tracks/5b2bu6yyATC1zMXDGScJ2d,https://api.spotify.com/v1/audio-analysis/5b2bu6yyATC1zMXDGScJ2d,192560,4,Listen (Deluxe),3UEEPh5wsdhP7SKC31yvhu
Underwater (feat. Sonu Nigam)___KSHMR,0.474,0.853,1,-3.605,0,0.052,0.0176,2.77e-06,0.171,0.33,128.001,audio_features,26fH6WSsuqpB1gCdEPlvmz,spotify:track:26fH6WSsuqpB1gCdEPlvmz,https://api.spotify.com/v1/tracks/26fH6WSsuqpB1gCdEPlvmz,https://api.spotify.com/v1/audio-analysis/26fH6WSsuqpB1gCdEPlvmz,191250,4,Underwater (feat. Sonu Nigam),4GaXc3j2jVZpDNYPn7W6iB
Love Is Gone - Synymata Remix___Dylan Matthew,0.41,0.624,4,-4.206,0,0.0456,0.0141,3.07e-05,0.141,0.0633,138.939,audio_features,2A8GbZ04HktZmVrR8odpYc,spotify:track:2A8GbZ04HktZmVrR8odpYc,https://api.spotify.com/v1/tracks/2A8GbZ04HktZmVrR8odpYc,https://api.spotify.com/v1/audio-analysis/2A8GbZ04HktZmVrR8odpYc,255429,4,Love Is Gone (The Remixes),7x3FlIZO38WzaxfKfrTk2n
"Love Dramatic (From ""Kaguya-sama: Love is War"")___Miura Jam",0.554,0.933,6,-1.2,0,0.0641,0.0847,0,0.0655,0.717,128.975,audio_features,3DDdNDx9pTfF310DpSrOf7,spotify:track:3DDdNDx9pTfF310DpSrOf7,https://api.spotify.com/v1/tracks/3DDdNDx9pTfF310DpSrOf7,https://api.spotify.com/v1/audio-analysis/3DDdNDx9pTfF310DpSrOf7,299955,4,"Love Dramatic (From ""Kaguya-sama: Love is War"")",7gWPD9s0mj5CbCzI8Hvdhu
Light___San Holo,0.57,0.763,1,-4.137,1,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,audio_features,6jq6rcOikCZAmjliAgAmfT,spotify:track:6jq6rcOikCZAmjliAgAmfT,https://api.spotify.com/v1/tracks/6jq6rcOikCZAmjliAgAmfT,https://api.spotify.com/v1/audio-analysis/6jq6rcOikCZAmjliAgAmfT,239853,4,Light,4k2ygY7kW4n1eVtR2i0F0H
ハグルマ___KANA-BOON,0.301,0.927,4,-3.79,0,0.0506,3.43e-05,0,0.211,0.594,82.469,audio_features,5pIlTStzsYk3h5Nnf7BWPw,spotify:track:5pIlTStzsYk3h5Nnf7BWPw,https://api.spotify.com/v1/tracks/5pIlTStzsYk3h5Nnf7BWPw,https://api.spotify.com/v1/audio-analysis/5pIlTStzsYk3h5Nnf7BWPw,218573,4,Haguruma,0VhoAk3CWoneQ19gOmnged
Never Letting Go___Audien,0.534,0.765,1,-3.151,1,0.0338,0.0915,0.00107,0.225,0.117,127.978,audio_features,5llPdGZJjJFJv9aL6ZaiLY,spotify:track:5llPdGZJjJFJv9aL6ZaiLY,https://api.spotify.com/v1/tracks/5llPdGZJjJFJv9aL6ZaiLY,https://api.spotify.com/v1/audio-analysis/5llPdGZJjJFJv9aL6ZaiLY,172520,4,Never Letting Go,7wufuX5VOkpdsAMxXIekGT
Love Me Wrong___Allie X,0.472,0.458,2,-7.912,1,0.0308,0.571,0,0.0925,0.105,97.167,audio_features,59uEiooaCUECb1fMmo6Sr9,spotify:track:59uEiooaCUECb1fMmo6Sr9,https://api.spotify.com/v1/tracks/59uEiooaCUECb1fMmo6Sr9,https://api.spotify.com/v1/audio-analysis/59uEiooaCUECb1fMmo6Sr9,192907,4,Love Me Wrong,5Qd3rWZavleUmV0pwBUjNF
Uragirimono No Requiem___bear,0.481,0.902,8,-4.747,0,0.0815,0.0327,0,0.139,0.428,168.028,audio_features,0aiUanj6nkRjsnHRzkq4Ua,spotify:track:0aiUanj6nkRjsnHRzkq4Ua,https://api.spotify.com/v1/tracks/0aiUanj6nkRjsnHRzkq4Ua,https://api.spotify.com/v1/audio-analysis/0aiUanj6nkRjsnHRzkq4Ua,209183,4,Uragirimono No Requiem,5MVCHtAoAqKh7xlGdjWO8w
The Rest of My Days___S+C+A+R+R,0.778,0.642,10,-6.51,0,0.0479,0.405,0.00385,0.09,0.199,99.986,audio_features,4ABiRDaBGg0hHeAWeAEcNq,spotify:track:4ABiRDaBGg0hHeAWeAEcNq,https://api.spotify.com/v1/tracks/4ABiRDaBGg0hHeAWeAEcNq,https://api.spotify.com/v1/audio-analysis/4ABiRDaBGg0hHeAWeAEcNq,193781,4,The Rest of My Days,3mW3G4u6bGp4TMRLzhHjFW
Save My Grave___Zeds Dead,0.604,0.742,8,-8.101,0,0.0315,0.0147,0.000733,0.158,0.123,108.021,audio_features,3SmytDq4CeZ3nKE9777qEx,spotify:track:3SmytDq4CeZ3nKE9777qEx,https://api.spotify.com/v1/tracks/3SmytDq4CeZ3nKE9777qEx,https://api.spotify.com/v1/audio-analysis/3SmytDq4CeZ3nKE9777qEx,222387,4,We Are Deadbeats (Vol. 4),0M5oUKrfgJtfZUKdFsC4VZ
Am I Wrong___Nico & Vinz,0.729,0.675,8,-6.003,1,0.0312,0.175,1.58e-06,0.55,0.779,119.968,audio_features,1fidCEsYlaVE3pHwKCvpFZ,spotify:track:1fidCEsYlaVE3pHwKCvpFZ,https://api.spotify.com/v1/tracks/1fidCEsYlaVE3pHwKCvpFZ,https://api.spotify.com/v1/audio-analysis/1fidCEsYlaVE3pHwKCvpFZ,245867,4,Black Star Elephant,6zXb9FQMzawvY2Au8Kxky3
Want to Want Me___Jason Derulo,0.775,0.68,0,-5.508,0,0.0629,0.00906,0,0.109,0.656,114.025,audio_features,7oGZAicScQt96OAW4AruYy,spotify:track:7oGZAicScQt96OAW4AruYy,https://api.spotify.com/v1/tracks/7oGZAicScQt96OAW4AruYy,https://api.spotify.com/v1/audio-analysis/7oGZAicScQt96OAW4AruYy,207719,4,Everything Is 4,59eUYETmE1zi31ESb3SUkI
Roar___Katy Perry,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,audio_features,6F5c58TMEs1byxUstkzVeM,spotify:track:6F5c58TMEs1byxUstkzVeM,https://api.spotify.com/v1/tracks/6F5c58TMEs1byxUstkzVeM,https://api.spotify.com/v1/audio-analysis/6F5c58TMEs1byxUstkzVeM,223546,4,PRISM (Deluxe),5MQBzs5YlZlE28mD9yUItn
Bussback___Kompany,0.524,0.965,3,-1.351,0,0.275,0.00237,0.064,0.151,0.388,150.023,audio_features,56p7ocnzcI01YD4fJ2Av8U,spotify:track:56p7ocnzcI01YD4fJ2Av8U,https://api.spotify.com/v1/tracks/56p7ocnzcI01YD4fJ2Av8U,https://api.spotify.com/v1/audio-analysis/56p7ocnzcI01YD4fJ2Av8U,243200,4,Bussback,7hi019ANqCgubZDCc1Thi1
Decades___Megara vs DJ Lee,0.397,0.646,6,-6.647,1,0.0847,0.00405,0.232,0.176,0.489,136.054,audio_features,3bWnJx6omFfZPbS14pqyHV,spotify:track:3bWnJx6omFfZPbS14pqyHV,https://api.spotify.com/v1/tracks/3bWnJx6omFfZPbS14pqyHV,https://api.spotify.com/v1/audio-analysis/3bWnJx6omFfZPbS14pqyHV,150945,4,Decades,7pYhXVhB8XTWME8YKIwthn
What Is You Doin___FG Famous,0.897,0.57,10,-5.84,0,0.0709,0.0373,8.9e-06,0.197,0.16,132.962,audio_features,0ebAx2iGMnq2eAOxAQh7Wj,spotify:track:0ebAx2iGMnq2eAOxAQh7Wj,https://api.spotify.com/v1/tracks/0ebAx2iGMnq2eAOxAQh7Wj,https://api.spotify.com/v1/audio-analysis/0ebAx2iGMnq2eAOxAQh7Wj,193809,4,Born 2 Ball,7iazAX1vFHINDjamTG5nQW
Make It To Heaven (with Raye)___David Guetta,0.587,0.92,0,-4.697,0,0.0914,0.0936,0.073,0.185,0.35,126.035,audio_features,5dS2dvXVPe7AR6UwBpnomW,spotify:track:5dS2dvXVPe7AR6UwBpnomW,https://api.spotify.com/v1/tracks/5dS2dvXVPe7AR6UwBpnomW,https://api.spotify.com/v1/audio-analysis/5dS2dvXVPe7AR6UwBpnomW,172381,4,Make It To Heaven (with Raye),3YgpLKWG2xfjEe8vVfcn13
BREAK LAW___Dog Blood,0.679,0.95,2,-2.247,1,0.0373,0.0148,0.00205,0.43,0.12,107.994,audio_features,223t7TwvWm5PuE1IuWpRZM,spotify:track:223t7TwvWm5PuE1IuWpRZM,https://api.spotify.com/v1/tracks/223t7TwvWm5PuE1IuWpRZM,https://api.spotify.com/v1/audio-analysis/223t7TwvWm5PuE1IuWpRZM,242222,4,Turn Off The Lights,1Pg5Ot24fhSbQbxqV5OTZS
Fly Away___TeddyLoid,0.735,0.803,6,-3.95,0,0.37,0.0171,0.000378,0.162,0.737,131.962,audio_features,7olMFQZhjN2EHf7ra2PjE7,spotify:track:7olMFQZhjN2EHf7ra2PjE7,https://api.spotify.com/v1/tracks/7olMFQZhjN2EHf7ra2PjE7,https://api.spotify.com/v1/audio-analysis/7olMFQZhjN2EHf7ra2PjE7,263827,4,Panty & Stocking with Garterbelt The Original Soundtrack,1OcPnTk7T4fgB8nkl4AOh6
Bring The Noise___Sholan,0.506,0.948,6,-6.533,0,0.0549,0.0027,0.88,0.349,0.422,137.998,audio_features,2zrJSInmxNNP4O1EQSTP4u,spotify:track:2zrJSInmxNNP4O1EQSTP4u,https://api.spotify.com/v1/tracks/2zrJSInmxNNP4O1EQSTP4u,https://api.spotify.com/v1/audio-analysis/2zrJSInmxNNP4O1EQSTP4u,200000,4,Bring The Noise,7FGQxbkAu1prVtlRiIin84
Roots___Valerie Broussard,0.683,0.785,7,-4.879,1,0.037,0.0643,1.34e-05,0.177,0.581,122.997,audio_features,23FHa9lYnG6Dr8OzombPkS,spotify:track:23FHa9lYnG6Dr8OzombPkS,https://api.spotify.com/v1/tracks/23FHa9lYnG6Dr8OzombPkS,https://api.spotify.com/v1/audio-analysis/23FHa9lYnG6Dr8OzombPkS,184564,4,Roots,4p0nrJ3SXAtZVaCnY0C0kM
Cha La Head Chala___Super3,0.475,0.98,2,-3.327,1,0.0944,0.000658,0,0.32,0.492,162.955,audio_features,44pOagqxCnPRLC0XZlCPSZ,spotify:track:44pOagqxCnPRLC0XZlCPSZ,https://api.spotify.com/v1/tracks/44pOagqxCnPRLC0XZlCPSZ,https://api.spotify.com/v1/audio-analysis/44pOagqxCnPRLC0XZlCPSZ,201453,4,FLOW THE MAX !!!,2idZRefNl4xfeLV3beHjcs
Lights - Bassnectar Remix___Ellie Goulding,0.528,0.775,1,-4.877,1,0.0285,0.00356,0.542,0.778,0.261,140.015,audio_features,3nPpCn5nYTMg0ajmzv57Jq,spotify:track:3nPpCn5nYTMg0ajmzv57Jq,https://api.spotify.com/v1/tracks/3nPpCn5nYTMg0ajmzv57Jq,https://api.spotify.com/v1/audio-analysis/3nPpCn5nYTMg0ajmzv57Jq,276560,4,Lights (The Remixes Part 1),7GJbkHBw6tMfmIkk8gYwww
Triumph - Original mix___Julian Calor,0.676,0.893,7,-5.807,1,0.0466,0.0261,0.896,0.664,0.266,128.0,audio_features,71WlX7GZEcO63dh8EZD40v,spotify:track:71WlX7GZEcO63dh8EZD40v,https://api.spotify.com/v1/tracks/71WlX7GZEcO63dh8EZD40v,https://api.spotify.com/v1/audio-analysis/71WlX7GZEcO63dh8EZD40v,363215,4,Triumph,4zkdlDaP2PJ0nN0x7rxm8j
Torn Apart___John Williams,0.078,0.128,6,-14.775,0,0.0444,0.921,0.855,0.0725,0.0374,79.208,audio_features,6A3isPtF8KMQfI3Ce4cImd,spotify:track:6A3isPtF8KMQfI3Ce4cImd,https://api.spotify.com/v1/tracks/6A3isPtF8KMQfI3Ce4cImd,https://api.spotify.com/v1/audio-analysis/6A3isPtF8KMQfI3Ce4cImd,259067,4,Star Wars: The Force Awakens (Original Motion Picture Soundtrack),3fUKGTsiYL1kSroBWBLmmR
Rise up___Shiro Sagisu,0.398,0.316,1,-7.031,1,0.0368,0.805,0,0.295,0.174,118.582,audio_features,0tV8pOpiNsKqUys0ilUcXz,spotify:track:0tV8pOpiNsKqUys0ilUcXz,https://api.spotify.com/v1/tracks/0tV8pOpiNsKqUys0ilUcXz,https://api.spotify.com/v1/audio-analysis/0tV8pOpiNsKqUys0ilUcXz,253342,4,Cheers to the Fall,6Blubl1glavmervPJa3QVs
あなたがいた森___樹海,0.212,0.534,1,-5.894,0,0.0352,0.254,9.87e-05,0.353,0.217,78.375,audio_features,27Rn47Sqc2fD4aSSTcSdRa,spotify:track:27Rn47Sqc2fD4aSSTcSdRa,https://api.spotify.com/v1/tracks/27Rn47Sqc2fD4aSSTcSdRa,https://api.spotify.com/v1/audio-analysis/27Rn47Sqc2fD4aSSTcSdRa,299800,4,ricordanza - Fate/stay night TV song collection -,0JzqNHs7e3yFP5xGl1qerG
熱情のスペクトラム___Ikimonogakari,0.476,0.902,11,-2.665,0,0.0436,0.0593,0,0.394,0.746,160.025,audio_features,1p0WZg4NXoNVGj2AuoLJe7,spotify:track:1p0WZg4NXoNVGj2AuoLJe7,https://api.spotify.com/v1/tracks/1p0WZg4NXoNVGj2AuoLJe7,https://api.spotify.com/v1/audio-analysis/1p0WZg4NXoNVGj2AuoLJe7,223613,4,Chou Ikimonobakari Tennen Kinen Members Best Selection,6CM8A3Uhws8mAcNOxpBRNq
Lucky___PNAU,0.585,0.956,0,-3.577,1,0.0564,0.0285,0,0.213,0.593,120.004,audio_features,0Quhzm1B1Z9I5S9RP6BgLh,spotify:track:0Quhzm1B1Z9I5S9RP6BgLh,https://api.spotify.com/v1/tracks/0Quhzm1B1Z9I5S9RP6BgLh,https://api.spotify.com/v1/audio-analysis/0Quhzm1B1Z9I5S9RP6BgLh,205704,4,Lucky,29hQOfDBBJ2kIVXy5nI0FX
Ringing -Easygoingness-___阿保 剛,0.302,0.619,11,-5.8,1,0.0438,0.332,0,0.104,0.262,185.594,audio_features,2mTtNTa2fnj9m4uyBbKPDr,spotify:track:2mTtNTa2fnj9m4uyBbKPDr,https://api.spotify.com/v1/tracks/2mTtNTa2fnj9m4uyBbKPDr,https://api.spotify.com/v1/audio-analysis/2mTtNTa2fnj9m4uyBbKPDr,199080,3,Wrapped In Red,7Jahqd1kx9Qau0E9x9iZj6
Rage the Night Away (feat. Waka Flocka Flame)___Steve Aoki,0.689,0.854,10,-4.624,0,0.0421,0.0054,0.00734,0.148,0.223,128.0,audio_features,15FlkvOEu8iFCBPZ64heHJ,spotify:track:15FlkvOEu8iFCBPZ64heHJ,https://api.spotify.com/v1/tracks/15FlkvOEu8iFCBPZ64heHJ,https://api.spotify.com/v1/audio-analysis/15FlkvOEu8iFCBPZ64heHJ,285187,4,Neon Future I,3KYFjFzw34AhmlxQC8r5W6
バースデーソング___Goose house,0.598,0.151,3,-10.693,1,0.0431,0.865,0,0.163,0.493,146.708,audio_features,2j2TaChpk0O2nhY0B5JjDg,spotify:track:2j2TaChpk0O2nhY0B5JjDg,https://api.spotify.com/v1/tracks/2j2TaChpk0O2nhY0B5JjDg,https://api.spotify.com/v1/audio-analysis/2j2TaChpk0O2nhY0B5JjDg,284893,4,Goose house Phrase #03 Wandering,4KV3PMCfzQxqI59DDZPzas
Jump___David Guetta,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000376,0.0702,0.796,129.994,audio_features,7N3PAbqfTjSEU1edb2tY8j,spotify:track:7N3PAbqfTjSEU1edb2tY8j,https://api.spotify.com/v1/tracks/7N3PAbqfTjSEU1edb2tY8j,https://api.spotify.com/v1/audio-analysis/7N3PAbqfTjSEU1edb2tY8j,241600,4,1984 (Remastered),3REUXdj5OPKhuDTrTtCBU0
Goodbye___Air Supply,0.548,0.653,5,-3.875,1,0.081,0.456,0,0.103,0.163,150.068,audio_features,0t3ZvGKlmYmVsDzBJAXK8C,spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/tracks/0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/audio-analysis/0t3ZvGKlmYmVsDzBJAXK8C,174853,4,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi
Bitter___FLETCHER,0.724,0.594,6,-7.126,0,0.102,0.393,0.00116,0.0889,0.413,136.002,audio_features,5Z0AM9HW78XIyZqF2BPasr,spotify:track:5Z0AM9HW78XIyZqF2BPasr,https://api.spotify.com/v1/tracks/5Z0AM9HW78XIyZqF2BPasr,https://api.spotify.com/v1/audio-analysis/5Z0AM9HW78XIyZqF2BPasr,194750,4,Bitter,2JqdcyrOqUzCJQOeuJ7h5u
Forget About Me___Rich Delinquent,0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,audio_features,3fH4KjXFYMmljxrcGrbPj9,spotify:track:3fH4KjXFYMmljxrcGrbPj9,https://api.spotify.com/v1/tracks/3fH4KjXFYMmljxrcGrbPj9,https://api.spotify.com/v1/audio-analysis/3fH4KjXFYMmljxrcGrbPj9,263040,4,Once Upon A Time (Super Deluxe),4YimfceN1R0nOS9CefIFhm
This Groove___Oliver Heldens,0.823,0.909,1,-4.508,1,0.0635,0.00779,0.0407,0.126,0.787,124.025,audio_features,6ZvLKwgPKlyZtDPkTWjPI7,spotify:track:6ZvLKwgPKlyZtDPkTWjPI7,https://api.spotify.com/v1/tracks/6ZvLKwgPKlyZtDPkTWjPI7,https://api.spotify.com/v1/audio-analysis/6ZvLKwgPKlyZtDPkTWjPI7,188175,4,This Groove,6V2cksv4xWiubhZdh2Kb1H
Ritual___Tiësto,0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.767,114.996,audio_features,3M9Apu4OZfylLTFKvgEtKa,spotify:track:3M9Apu4OZfylLTFKvgEtKa,https://api.spotify.com/v1/tracks/3M9Apu4OZfylLTFKvgEtKa,https://api.spotify.com/v1/audio-analysis/3M9Apu4OZfylLTFKvgEtKa,198996,4,Ritual,0efvl0HsK2xxttk4IVOJry
veil___須田景凪,0.559,0.873,0,-4.401,0,0.0543,0.0281,0,0.185,0.797,150.055,audio_features,1dGF5ymTyBB2ZmOypkeU1F,spotify:track:1dGF5ymTyBB2ZmOypkeU1F,https://api.spotify.com/v1/tracks/1dGF5ymTyBB2ZmOypkeU1F,https://api.spotify.com/v1/audio-analysis/1dGF5ymTyBB2ZmOypkeU1F,209636,4,porte,2vV8klrByPkSnocfIlaOMI
Nightmare (feat. Pusha T & Barrington Levy)___Yellow Claw,0.6,0.923,7,-5.559,1,0.076,0.0054,2.14e-05,0.303,0.466,150.028,audio_features,06slB3FZOoscRMzOZpiNsE,spotify:track:06slB3FZOoscRMzOZpiNsE,https://api.spotify.com/v1/tracks/06slB3FZOoscRMzOZpiNsE,https://api.spotify.com/v1/audio-analysis/06slB3FZOoscRMzOZpiNsE,246365,4,Blood For Mercy,7ACxS7rtYV8HyHgj0FD0cb
Keep It Low___Afrojack,0.659,0.941,11,-4.162,0,0.111,0.0181,1.64e-05,0.285,0.374,128.033,audio_features,6xgGAUsVfIPHx0WbJWeCkD,spotify:track:6xgGAUsVfIPHx0WbJWeCkD,https://api.spotify.com/v1/tracks/6xgGAUsVfIPHx0WbJWeCkD,https://api.spotify.com/v1/audio-analysis/6xgGAUsVfIPHx0WbJWeCkD,155620,4,Keep It Low,3T3MWornlnmiWE5SOMiDB9
Gold - Club Mix___Dash Berlin,0.526,0.677,0,-2.909,0,0.0328,0.0052,0,0.328,0.463,128.133,audio_features,56p4Sbcwv5hPUSGjV11PjP,spotify:track:56p4Sbcwv5hPUSGjV11PjP,https://api.spotify.com/v1/tracks/56p4Sbcwv5hPUSGjV11PjP,https://api.spotify.com/v1/audio-analysis/56p4Sbcwv5hPUSGjV11PjP,145811,4,Gold (Club Mix),7s441I4RCwiyNyFk2gODZr
Don't you think (feat.Lozareena)___THE ORAL CIGARETTES,0.489,0.842,7,-4.421,1,0.028,0.035,0,0.0635,0.621,90.004,audio_features,2cufWUO2MUwXWegpF0O5Mi,spotify:track:2cufWUO2MUwXWegpF0O5Mi,https://api.spotify.com/v1/tracks/2cufWUO2MUwXWegpF0O5Mi,https://api.spotify.com/v1/audio-analysis/2cufWUO2MUwXWegpF0O5Mi,262496,4,SUCK MY WORLD,5AzCX3rN5zPB0AeaOjTRYC
This Game Feat. IA (dj-Jo Remix) [Full]___dj-Jo,0.457,0.675,11,-5.865,0,0.0428,0.0028,0.000131,0.114,0.203,147.052,audio_features,0im6eVR2bVfb1ErwzKkx1z,spotify:track:0im6eVR2bVfb1ErwzKkx1z,https://api.spotify.com/v1/tracks/0im6eVR2bVfb1ErwzKkx1z,https://api.spotify.com/v1/audio-analysis/0im6eVR2bVfb1ErwzKkx1z,292424,4,This Game Feat. IA (dj-Jo Remix) [Full],1gD0RdHoieucM8NCqdokK7
Take A Sip - Dodge & Fuski Remix___Naeleck,0.617,0.986,4,-1.844,1,0.484,0.0048,0.000831,0.559,0.602,150.04,audio_features,4Ja9nYFkfPS7D9qiZFMUrH,spotify:track:4Ja9nYFkfPS7D9qiZFMUrH,https://api.spotify.com/v1/tracks/4Ja9nYFkfPS7D9qiZFMUrH,https://api.spotify.com/v1/audio-analysis/4Ja9nYFkfPS7D9qiZFMUrH,173600,4,Take A Sip Remixes,0abjlTzZl6MxRRVe40POjU
BAM BAM___Merk & Kremont,0.698,0.951,1,-2.827,0,0.053,0.00889,0.812,0.0508,0.399,125.962,audio_features,1b4EzuJmQ2xvQkfOmXULsl,spotify:track:1b4EzuJmQ2xvQkfOmXULsl,https://api.spotify.com/v1/tracks/1b4EzuJmQ2xvQkfOmXULsl,https://api.spotify.com/v1/audio-analysis/1b4EzuJmQ2xvQkfOmXULsl,155476,4,BAM BAM,58nYgO97jJlKTkduXYktuB
Drive By___BLVD.,0.758,0.933,5,-1.055,0,0.352,0.0184,0.0239,0.135,0.828,160.085,audio_features,0y2Z6Cz3OFpuHAx7iZNVI3,spotify:track:0y2Z6Cz3OFpuHAx7iZNVI3,https://api.spotify.com/v1/tracks/0y2Z6Cz3OFpuHAx7iZNVI3,https://api.spotify.com/v1/audio-analysis/0y2Z6Cz3OFpuHAx7iZNVI3,133500,4,Drive By,53v7bFVLcewvChKmeADdy8
Skit___Agust D,0.504,0.711,6,-14.805,1,0.1,0.46,0.000631,0.358,0.127,120.594,audio_features,4YZ50iwVa9suSjIHpmup7k,spotify:track:4YZ50iwVa9suSjIHpmup7k,https://api.spotify.com/v1/tracks/4YZ50iwVa9suSjIHpmup7k,https://api.spotify.com/v1/audio-analysis/4YZ50iwVa9suSjIHpmup7k,74299,5,Agust D,6GbiSEYL78RDLpxoxkWavo
2U___David Guetta,0.551,0.651,8,-5.828,0,0.0594,0.225,0,0.224,0.562,144.875,audio_features,762UXiwEHYY97VL45sAUPR,spotify:track:762UXiwEHYY97VL45sAUPR,https://api.spotify.com/v1/tracks/762UXiwEHYY97VL45sAUPR,https://api.spotify.com/v1/audio-analysis/762UXiwEHYY97VL45sAUPR,194907,4,2U,0EYVu7ginQ5nPsQj3woBAQ
LOSER___Kenshi Yonezu,0.679,0.931,1,-3.74,0,0.0474,0.00466,0,0.0652,0.962,121.001,audio_features,7wa1cHqTRdjXZuqo4iigj1,spotify:track:7wa1cHqTRdjXZuqo4iigj1,https://api.spotify.com/v1/tracks/7wa1cHqTRdjXZuqo4iigj1,https://api.spotify.com/v1/audio-analysis/7wa1cHqTRdjXZuqo4iigj1,243813,4,Bootleg,5ztm773WXmGJDkzGWH0YXT
Deja Vu (feat. Delora) - Radio Edit___DVBBS,0.539,0.865,5,-3.939,0,0.0406,0.019,0.0212,0.412,0.167,127.99,audio_features,2q6ak3C7lXdsXj50FlPWNq,spotify:track:2q6ak3C7lXdsXj50FlPWNq,https://api.spotify.com/v1/tracks/2q6ak3C7lXdsXj50FlPWNq,https://api.spotify.com/v1/audio-analysis/2q6ak3C7lXdsXj50FlPWNq,226362,4,Deja Vu (feat. Delora),19n7Z39NkSum2mhNeN3BkH
I Feel It Coming___The Weeknd,0.773,0.819,0,-5.946,0,0.118,0.428,0,0.0679,0.585,92.987,audio_features,3dhjNA0jGA8vHBQ1VdD6vV,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,https://api.spotify.com/v1/tracks/3dhjNA0jGA8vHBQ1VdD6vV,https://api.spotify.com/v1/audio-analysis/3dhjNA0jGA8vHBQ1VdD6vV,269187,4,Starboy,2ODvWsOgouMbaA5xf0RkJe
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)___Eminem",0.68,0.82,4,-4.197,0,0.151,0.0614,0,0.597,0.243,140.033,audio_features,0GQ5bFTVFFKpwNPc7KwQnB,spotify:track:0GQ5bFTVFFKpwNPc7KwQnB,https://api.spotify.com/v1/tracks/0GQ5bFTVFFKpwNPc7KwQnB,https://api.spotify.com/v1/audio-analysis/0GQ5bFTVFFKpwNPc7KwQnB,234653,4,Music To Be Murdered By,4otkd9As6YaxxEkIjXPiZ6
Falling Down___Danell Arma,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,audio_features,4jvjzW7Hm0yK4LvvE0Paz9,spotify:track:4jvjzW7Hm0yK4LvvE0Paz9,https://api.spotify.com/v1/tracks/4jvjzW7Hm0yK4LvvE0Paz9,https://api.spotify.com/v1/audio-analysis/4jvjzW7Hm0yK4LvvE0Paz9,196400,4,"Come Over When You're Sober, Pt. 2",52JymrguPgkmmwLaWIusst
HOLIDAY___Lil Nas X,0.81,0.511,5,-6.924,0,0.164,0.12,0,0.0832,0.837,151.947,audio_features,6zFMeegAMYQo0mt8rXtrli,spotify:track:6zFMeegAMYQo0mt8rXtrli,https://api.spotify.com/v1/tracks/6zFMeegAMYQo0mt8rXtrli,https://api.spotify.com/v1/audio-analysis/6zFMeegAMYQo0mt8rXtrli,154998,4,HOLIDAY,4EvukZrmNBiqJbs3LwOSHu
Goya No Machiawase___Hello Sleepwalkers,0.406,0.959,0,-3.014,1,0.0952,0.000891,0,0.327,0.571,94.277,audio_features,5s0AxcVJJD2YYPstMb61ro,spotify:track:5s0AxcVJJD2YYPstMb61ro,https://api.spotify.com/v1/tracks/5s0AxcVJJD2YYPstMb61ro,https://api.spotify.com/v1/audio-analysis/5s0AxcVJJD2YYPstMb61ro,170640,4,Masked Monkey Awakening,54jWGkjxUiU7Wy21lvXe9H
"Me!Me!Me!, Pt. 3___TeddyLoid",0.311,0.905,10,-9.72,1,0.264,0.00668,0.0027,0.408,0.417,132.861,audio_features,5UMObhpm8o5HInx05xYlUn,spotify:track:5UMObhpm8o5HInx05xYlUn,https://api.spotify.com/v1/tracks/5UMObhpm8o5HInx05xYlUn,https://api.spotify.com/v1/audio-analysis/5UMObhpm8o5HInx05xYlUn,157093,4,Japan Anima(tor)’s Exhibition,3MR9qOHviGYEv0UU1O4C0A
